GRADE_NAME,SS-PREV,SS,NP-PREV,NP,IS-ELA,FRL,Asian,Black,Multi,White,Disabled,Gender,Gifted,YEARS_TEACHING,Months-Until-Renewal,Annual Salary,SumOfCertificates,YEARS_TEACHING * IS-ELA,YEARS_TEACHING * FREE-LUNCH,YEARS_TEACHING * REDUCED-LUNCH,YEARS_TEACHING * Asian,YEARS_TEACHING * Black,YEARS_TEACHING * Native,YEARS_TEACHING * Multi,YEARS_TEACHING * White,YEARS_TEACHING * Disabled,YEARS_TEACHING * Gender,YEARS_TEACHING * Gifted,BUSINESS,English,ENGLISH LANGUAGE ARTS,Foreign Languages Spanish,General Elementary Educ,INDUSTRIAL ARTS/TECHNOLOGY ED,Instructional Technology Tchr,MATHEMATICS,Mathematics Middle School,Physical Curr Physical Ed,Science General,SCIENCE NATURAL,Soc Sciences History,Soc Sciences Social Studies,SOCIAL SCIENCES,TECHNICAL ED/COMPUTER TECH
10,641,641,77,36,0,0,0,0,1,0,0,0,0,19,58.68,64792,2,0,0,0,0,0,0,19,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0
10,643,599,87,1,0,0,0,0,0,1,0,1,1,24,53.47,44281,4,0,0,0,0,0,0,0,24,0,24,24,0,0,0,0,0,0,0,1,0,0,1,0,0,0,1,0
10,643,599,87,1,0,0,0,0,0,1,0,1,1,0,29.97,37827,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1
10,643,599,87,1,0,0,0,0,0,1,0,1,1,0,29.37,41207,3,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0
10,643,599,87,1,0,0,0,0,0,1,0,1,1,0,34.59,37827,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1
10,643,599,87,1,0,0,0,0,0,1,0,1,1,30,2.67,53473,2,0,0,0,0,0,0,0,30,0,30,30,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0
10,643,599,87,1,0,0,0,0,0,1,0,1,1,24,58.09,44281,4,0,0,0,0,0,0,0,24,0,24,24,0,0,0,0,0,0,0,1,0,0,1,0,0,0,1,0
10,606,611,53,31,0,2,0,0,0,0,0,0,0,3,32.61,40933,3,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0
10,606,611,53,31,0,2,0,0,0,0,0,0,0,3,37.23,40933,3,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0
10,606,611,53,31,0,2,0,0,0,0,0,0,0,3,59.01,39713,2,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0
