ID,NumberPhenotypes
9,'0010011111111001000100001011001101111111110101000110101011011',1
9,'1111001111111101011111100100010100010111101100100111011001110',1
9,'0100011110010111000000111111110000011110011001110111100010100',1
9,'1100001101110010011000000010001100010010011000011100010000001',1
9,'0111000111000100010001101111100110110110110101010011010011001',1
9,'0010011110111001000100001011001101111111110000010111101011011',1
9,'1100101110000100011101101100111111011111011110000011011000100',1
9,'1011010010110010111001111111001111001111100110011101001101011',1

10,'0100110110110010101011011110010100011010000011010011001001010',5
10,'1100101110000100011101101100111111011111011110000011011000100',2
10,'1010010110110010111101111100000111001111101111011011000101011',5
10,'0100011100010111000000111111110000011110011001110111100010011',2
10,'0111000111000100010001101111001110010110110101000011010011001',4
10,'1110100111010100011101100100111111011111011110000011011100100',15
10,'0111000111000100010001101111000110110110110101010011010011001',4
10,'1000010110101000101011111100001010111110010001011111110001100',4
10,'0101000111100000010000101111000110110110110101010011010011001',5
10,'0010110110110010111101011110000111001111001111011011000101011',1
10,'0100010110110000101011011110010100111010000011010011001001010',7
10,'1010010110110010111101111110000111001111101111011011000101011',21
10,'0100110110110010101011011110110000011010000011010011001001010',1
10,'0111101110010001010101010101110011011010000100000011110001110',2
10,'1011010110110010111001111110101111001111100111011011001101011',5
10,'0100010110110000101011011110010100111010000001010011001001010',2
10,'1010010010111000111101101100000110001111101111001011000101011',1
10,'0100010110110000101011111110010100111010000011010011001001010',1
10,'0010011111111001000100001011001101111111110101000110101011011',2
10,'1111100111010100011101000100111011011110011010000011011100100',1
10,'1111001111111101011010100010110100010101101100100111011001110',2
10,'1011010010110011111000111110101111001111100111011011001101011',1
10,'0000111110101101000110001010101110111111110000010111001011011',1
10,'1111100111010000011101100100101111011111011110000001001100100',1
10,'0000111111100101000110101010101110101101110000000111001011011',1
10,'0100011110010111000000111111110000011110011001110111100010100',2
10,'0001000111000000010000101111000110110110110101010011000011001',1
10,'1111100111010100011101100100111111011111011011000001001000100',1

11,'0100110110110010101011011110010100011010000011010011001001010',5
11,'1100101110000100011101101100111111011111011110000011011000100',2
11,'1010010110110010111101111100000111001111101111011011000101011',3
11,'0100010110110000101011011110010100111010000001010011001001010',4
11,'0111000111000100010001101111001110010110110101000011010011001',5
11,'1110011110110010111000111110101111001111100111011011001101111',1
11,'0111000111000100010001101111000110110110110101010011010011001',6
11,'1011010110110010111001111110101111001111100111011011001101011',6
11,'1110100111010100011101100100111111011111011110000011011100100',9
11,'0100010110110000101011011110010100111010000011010011001001010',5
11,'1010010110110010111101111110000111001111101111011011000101011',20
11,'0101000111100000010000101111000110110110110101010011010011001',6
11,'0100110110110010101011011110110000011010000011010011001001010',2
11,'1111100111010100011101100100111111011111011011000001001000100',2
11,'0100011110010111000000111111110000011110011001110111100010100',3
11,'0100110110110010101011011110010100011010000011010010001001010',1
11,'0010011111111001000100001011001101111111110101000110101011011',2
11,'1000010110101000101011111100001010111110010001011111110001100',2
11,'0110110111010100011101101100111111011011011110000011010110100',1
11,'1010010110110010111101111100000111001101001111011011000101011',1
11,'0100011100010111000000111111110000011110011001110111100010011',2
11,'0100010110110010101011011110010100111011000111000011001001010',1
11,'1111100111010000011101100100101111011111011110000001001100100',2
11,'0100011010010111000000111111110000011110011001110111100010100',1
11,'1111001111111101011010100010110100010101101100100111011001110',2
11,'0111000101000100010001101111001111010110110101001011000011010',1
11,'0000111111100101000110101010101110101101110000000111001011011',2
11,'1110100111010100011101100110111111011111011110000011010100100',1
11,'1011010110110011111001111110100111001111100111011111001101011',1
11,'1110100111010100011101100101111111011111011110000011011100100',1

12,'0100110110110010101011011110010100011010000011010011001001010',8
12,'1100101110000100011101101100111111011111011110000011011000100',4
12,'0100010110110000101011011110010100111010000001010011001001010',6
12,'0111000111000100010001101111001110010110110101000011010011001',4
12,'0111000111000100010001101111000110110110110101010011010011101',1
12,'0111000111000100010001101111000110110110110101010011010011001',5
12,'1011010110110010111001111110101111001111100111011011001101011',7
12,'1110000111000100000001101101000110110100110101010011000011001',1
12,'0100010110110000101011011110010100111010000011010011001001010',5
12,'1111001111111101011010100010110100010101101100100111011001110',2
12,'0101000111100000010000101111000110110110110101010011010011001',6
12,'0110111110011111100000111111110000111110011001110111100010101',1
12,'1010010110110010111101111110000111001111101111011011000101011',18
12,'1111100111010100011101100100111111011111011011000001001000100',1
12,'0111000011000100010001111110000110011100110101010011010011001',1
12,'1110100111010100011101100110111111011111011110000011010100100',2
12,'0100110110110010101011011110010100011010000011010010001001010',1
12,'0010011111111001000100001011001101111111110101000110101011011',2
12,'1110100011010100011101100100111111011111011110000011011100100',1
12,'1010010110110010111101111100000111001111101111011011000101011',4
12,'0100010110110010101011011110010100111011000111000011001001010',2
12,'1110100111010100011101100100111111011111011110000011011100100',5
12,'1111100111010100011101100100111111011111010011010001001001100',1
12,'1000010110101000101011111100001010111110010001011111110001100',2
12,'0000010110110000101010011110010100111010100011011011001001010',1
12,'0100110110110010101011010110110000011010000011010011001001010',1
12,'1010010110110010111111111110000111000111101011011011000101011',1
12,'1011010110110010111111111110101111001111100110011011001101001',1
12,'0100110110110010101011011110110000011010000011010011001001010',1
12,'0100011110010111000000111111110000011110011001110111100010100',1
12,'1011010100110001111001111110100111001111100111011111101101011',1
12,'1010010010111010111101110100000111101111101111011010000101011',1
12,'0100110110110010111011011110010100011010000011010011001011010',1
12,'1011010110110011111001111110100111001111100111011111001101011',1

13,'0100110110110010101011011110010100011010000011010011001001010',11
13,'0100011110010111000000111111110000011110011001110111100010100',2
13,'0100010110110000101011011110010100111010000001010011001001010',4
13,'0111000111000100010001101111001110010110110101000011010011001',2
13,'1110100111010100011101100100111111011111011110000011011100100',8
13,'1011010110110010111001111110101111001111100111011011001101011',10
13,'1110000111000100000001101101000110110100110101010011000011001',2
13,'1111001111111101011010100010110100010101101100100111011001110',2
13,'0101000111100000010000101111000110110110110101010011010011001',5
13,'1100101110000100011101101100111111011111011110000011011000100',4
13,'0110111110011111100000111111110000111110011001110111100010101',2
13,'0010011111111001000100001011001101111111110101000110101011011',2
13,'1111100111010100011101100100111111011111011011000001001000100',2
13,'1110100111010100011101100110111111011111011110000011010100100',1
13,'0100110110110010101011011110010100011010000011010010001001010',2
13,'0100110111110000101010010110010100111010000011010011001001010',1
13,'0100110110110100101011011110010100111010000001010011001000000',1
13,'1010010110110010111101111110000111001111101111011011000101011',16
13,'0000010110110000101010011110010100111010100011011011000001010',1
13,'0100010110110000101011011110010100111010000011010011001001010',4
13,'1110100111010100011101100110111111011111011110000011010110100',1
13,'1000010110101000101011111100001010111110010001011111110001100',1
13,'0101000111100000110001101111000100110110110101000011010011001',1
13,'0000010110110000101010011110010100111010100011011011001001010',1
13,'0100110110110010101011010110110000011010000011010011001001010',2
13,'1010010110110010111101111100000111001111101111011011000101011',2
13,'0100000110010100101011011110010100111010000011010011001001010',1
13,'0100110110110010111011011110010100011010000011010011001011010',2
13,'0100110110110010101010011110010100011010000011010011001001010',1
13,'1010010110110010111111111110000111000111101011011011000101011',2
13,'1011010110110011111001111110100111001111100111011111001101011',2
13,'0100010110100000101011011110010100111010010001010011001001010',1
13,'0000010110101000100011111110001010111110010001011111110101100',1

14,'0010010110010000111101101110000111001111110111011011000101011',1
14,'1010010110110010111101111110000111001111101111011011000101011',19
14,'0100110110110010101011011110010100011010000011010011001001010',11
